Movie,Votes,Director,Stars,Description
American Made,123886,Doug Liman,"Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
The Dark Tower,102254,Nikolaj Arcel,"Idris Elba,Matthew McConaughey,Tom Taylor,Dennis Haysbert","The last Gunslinger: Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, and determined to prevent him from toppling the Dark Tower that holds the universe together. With the fate of the world at stake, good and evil will collide in the ultimate battle, as only Roland can defend the Tower from the Man in Black."
Power Rangers,88630,Dean Israelite,"Dacre Montgomery,Naomi Scott,RJ Cyler,Ludi Lin","A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world."
Only the Brave,41503,Joseph Kosinski,"Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
Cargo,24560,"Ben Howling,Yolanda Ramke","Martin Freeman,Anthony Hayes,Susie Porter,Caren Pistorius","After an epidemic spreads all over Australia, a father searches for someone willing to protect his daughter."
Der Hauptmann,4922,Robert Schwentke,"Max Hubacher,Milan Peschel,Frederick Lau,Bernd Hölscher","In the last moments of World War II, a young German soldier fighting for survival finds a Nazi captain's uniform. Impersonating an officer, the man quickly takes on the monstrous identity of the perpetrators he is trying to escape from."
The Bookshop,6381,Isabel Coixet,"Emily Mortimer,Bill Nighy,Hunter Tremayne,Honor Kneafsey","England 1959. In a small East Anglian town, Florence Green decides, against polite but ruthless local opposition, to open a bookshop."
Ferdinand,37499,Carlos Saldanha,"John Cena,Kate McKinnon,Bobby Cannavale,Jack Gore","After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
The Space Between Us,38833,Peter Chelsom,"Gary Oldman,Asa Butterfield,Carla Gugino,Britt Robertson","The first human born on Mars travels to Earth for the first time, experiencing the wonders of the planet through fresh eyes. He embarks on an adventure with a street smart girl to discover how he came to be."
Thoroughbreds,22520,Cory Finley,"Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Paul Sparks","Two upper-class teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. Together, they hatch a plan to solve both of their problems-no matter what the cost."
T2 Trainspotting,91806,Danny Boyle,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie."
Shot Caller,54435,Ric Roman Waugh,"Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal",A newly released prisoner is forced by the leaders of his gang to orchestrate a major crime with a brutal rival gang on the streets of Southern California.
The Endless,17998,"Justin Benson,Aaron Moorhead","Aaron Moorhead,Justin Benson,Callie Hernandez,Tate Ellington","As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
Anna and the Apocalypse,2327,John McPhail,"Ella Hunt,Malcolm Cumming,Sarah Swire,Christopher Leveaux","A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other."
The Little Hours,13894,Jeff Baena,"Alison Brie,Dave Franco,Kate Micucci,Aubrey Plaza","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation."
The Foreigner,77438,Martin Campbell,"Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy","A humble businessman with a buried past seeks justice when his daughter is killed in an act of terrorism. A cat-and-mouse conflict ensues with a government official, whose past may hold clues to the killers' identities."
Paddington 2,42396,Paul King,"Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
Annabelle: Creation,84858,David F. Sandberg,"Anthony LaPaglia,Samara Lee,Miranda Otto,Brad Greenquist","12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle."
The Babysitter,43196,McG,"Judah Lewis,Samara Weaving,Robbie Amell,Hana Mae Lee",The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.
The Snowman,45227,Tomas Alfredson,"Michael Fassbender,Rebecca Ferguson,Charlotte Gainsbourg,Jonas Karlsson",Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
Before I Fall,37097,Ry Russo-Young,"Zoey Deutch,Halston Sage,Cynthy Wu,Medalion Rahimi","February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing."
Battle of the Sexes,40799,"Jonathan Dayton,Valerie Faris","Emma Stone,Steve Carell,Andrea Riseborough,Sarah Silverman",The true story of the 1973 tennis match between World number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.
Rockaway,333,John J. Budion,"Keidrich Sellati,Maxwell Apple,James DiGiacomo,Tanner Flood","Inspired by true events, a man recounts the summer of '94, when he and his brother plotted revenge against their abusive father."
American Assassin,55313,Michael Cuesta,"Dylan O'Brien,Michael Keaton,Sanaa Lathan,Taylor Kitsch","After the death of his girlfriend at the hands of terrorists, Mitch Rapp is drawn into the world of counterterrorism, mentored by tough-as-nails former U.S. Navy S.E.A.L. Stan Hurley."
The Rider,7833,Chloé Zhao,"Brady Jandreau,Mooney,Tim Jandreau,Lilly Jandreau","After suffering a near fatal head injury, a young cowboy undertakes a search for new identity and what it means to be a man in the heartland of America."
The Hatton Garden Job,3629,Ronnie Thompson,"Matthew Goode,Phil Daniels,Larry Lamb,Clive Russell","In April 2015, the Hatton Garden Safe Deposit Company, an underground safe deposit facility in London's Hatton Garden area, was burgled by 4 elderly men. The total stolen may have a value ...                See full summary »"
Gifted,78287,Marc Webb,"Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
The Super,6670,Stephan Rick,"Patrick John Flueger,Val Kilmer,Louisa Krause,Mattea Conforti",A man becomes the superintendent of a large New York City apartment building where people mysteriously go missing.
Death Note,64365,Adam Wingard,"Nat Wolff,Lakeith Stanfield,Margaret Qualley,Shea Whigham","A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
Okja,68343,Joon-ho Bong,"Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal","A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja."
The Big Sick,99745,Michael Showalter,"Kumail Nanjiani,Zoe Kazan,Holly Hunter,Ray Romano","Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings."
You Get Me,8808,Brent Bonacorso,"Bella Thorne,Halston Sage,Taylor John Smith,Nash Grier","Tyler's crazy in love with his perfect girlfriend Ali, but when a big fight makes him and Ali break up, he lands in the arms of Holly, an out-of-towner who shows him a night he's gonna ...                See full summary »"
Daddy's Home Two,45416,Sean Anders,"Will Ferrell,Mark Wahlberg,Mel Gibson,John Lithgow","Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays."
Rebel in the Rye,5704,Danny Strong,"Nicholas Hoult,Kevin Spacey,Victor Garber,Hope Davis","The life of celebrated but reclusive author, J.D. Salinger, who gained worldwide fame with the publication of his novel, ""The Catcher in the Rye""."
The Circle,69719,James Ponsoldt,"Emma Watson,Tom Hanks,John Boyega,Ellar Coltrane","A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
1922,33055,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
War for the Planet of the Apes,193709,Matt Reeves,"Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval","After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
Jigsaw,54392,"Michael Spierig,Peter Spierig","Matt Passmore,Tobin Bell,Callum Keith Rennie,Hannah Emily Anderson","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
Cold Skin,7827,Xavier Gens,"Ray Stevenson,David Oakes,Aura Garrido,Winslow M. Iwaki","In 1914, a young man arrives at a remote island near the Antarctic Circle to take the post of weather observer only to find himself trapped in a watchtower besieged by deadly creatures which live in hiding on the island."
Good Time,48476,"Benny Safdie,Josh Safdie","Robert Pattinson,Benny Safdie,Jennifer Jason Leigh,Buddy Duress","After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through the city's underworld in an increasingly desperate-and dangerous-attempt to get his brother Nick out of jail."
It Comes at Night,65745,Trey Edward Shults,"Joel Edgerton,Christopher Abbott,Carmen Ejogo,Riley Keough","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son. Then a desperate young family arrives seeking refuge."
