Movie,Release_date,Popularity
2048: Nowhere to Run,2017-09-14,7.382
Just Getting Started,2017-12-01,7.361
The Boss Baby,2017-03-23,7.357
Blade Runner: Black Out 2022,2017-09-26,7.342
How to Talk to Girls at Parties,2017-10-06,7.325
C'est la vie!,2017-10-04,7.312
The Breadwinner,2017-11-17,7.306
El Camino Christmas,2017-12-08,7.296
Along with the Gods: The Two Worlds,2017-12-20,7.276
Trolls Holiday,2017-11-24,7.269
The Case for Christ,2017-04-07,7.242
Movie,Release_date,Popularity
Sand Castle,2017-04-21,7.228
Bedeviled,2017-06-28,7.165
Christmas Wedding Planner,2017-12-14,7.164
Lupin the Third: The Blood Spray of Goemon Ishikawa,2017-02-04,7.157
Mr & Mme Adelman,2017-03-08,7.142
Our Souls at Night,2017-09-01,7.136
Arsenal,2017-01-06,7.117
The Pirates of Somalia,2017-12-08,7.116
Voyage of Time: Life's Journey,2017-03-10,7.109
Una,2017-03-30,7.091
Last Flag Flying,2017-02-01,7.087
Mazinger Z: Infinity,2017-10-27,7.075
The Humanity Bureau,2017-07-11,7.024
Message from the King,2017-05-10,7.014
All Nighter,2017-03-10,7.011
Novitiate,2017-10-27,6.997
Goon: Last of the Enforcers,2017-03-17,6.964
The Dinner,2017-05-05,6.962
Voyeur,2017-10-04,6.957
A Stork's Journey,2017-05-05,6.952
